geoid,name,year,total_est,total_se
16000US2507000,"Boston city, Massachusetts",2014,96865,3427.9636
16000US2507000,"Boston city, Massachusetts",2015,87037,3257.7507
16000US2507000,"Boston city, Massachusetts",2016,95443,4012.7659
16000US2507000,"Boston city, Massachusetts",2017,94598,3638.9058
16000US2743000,"Minneapolis city, Minnesota",2009,46938,2186.6262
16000US2743000,"Minneapolis city, Minnesota",2010,41712,2448.6323
16000US2743000,"Minneapolis city, Minnesota",2011,39650,2013.3739
16000US2743000,"Minneapolis city, Minnesota",2012,43717,2265.0457
16000US2743000,"Minneapolis city, Minnesota",2013,41393,2092.4011
16000US2743000,"Minneapolis city, Minnesota",2014,42907,2299.0881
16000US2743000,"Minneapolis city, Minnesota",2015,43318,2206.0791
16000US2743000,"Minneapolis city, Minnesota",2016,42395,2073.5562
16000US2743000,"Minneapolis city, Minnesota",2017,42850,1938.6018
16000US3240000,"Las Vegas city, Nevada",2015,54922,3269.9089
16000US3240000,"Las Vegas city, Nevada",2016,49520,3017.0212
16000US3240000,"Las Vegas city, Nevada",2017,52418,3375.0759
16000US3651000,"New York city, New York",2009,440318,9603.0391
16000US3651000,"New York city, New York",2010,414943,8541.6416
16000US3651000,"New York city, New York",2011,405686,7123.4043
16000US3651000,"New York city, New York",2012,384129,8665.6533
16000US3651000,"New York city, New York",2013,387287,7091.1855
16000US3651000,"New York city, New York",2014,363045,7391.4893
16000US3651000,"New York city, New York",2015,357147,7400.6079
16000US3651000,"New York city, New York",2016,368788,8762.3096
16000US3651000,"New York city, New York",2017,371354,8716.1094
16000US3712000,"Charlotte city, North Carolina",2010,51973,3021.2766
16000US3712000,"Charlotte city, North Carolina",2012,58373,3117.9331
16000US3712000,"Charlotte city, North Carolina",2013,54486,2640.7295
16000US3712000,"Charlotte city, North Carolina",2014,58545,3207.9028
16000US3712000,"Charlotte city, North Carolina",2015,67896,3337.9939
16000US3712000,"Charlotte city, North Carolina",2016,58068,3151.3677
16000US3712000,"Charlotte city, North Carolina",2017,61931,3459.5745
16000US3918000,"Columbus city, Ohio",2009,109608,4438.2979
16000US3918000,"Columbus city, Ohio",2010,109095,4110.0303
16000US3918000,"Columbus city, Ohio",2011,96015,4778.7236
16000US3918000,"Columbus city, Ohio",2012,99388,3727.6597
16000US3918000,"Columbus city, Ohio",2013,88563,3679.0273
16000US3918000,"Columbus city, Ohio",2014,94365,4742.249
16000US3918000,"Columbus city, Ohio",2015,95111,4908.2065
16000US3918000,"Columbus city, Ohio",2016,92359,3908.8147
16000US3918000,"Columbus city, Ohio",2017,89739,3897.2644
16000US4159000,"Portland city, Oregon",2009,68409,3119.1489
16000US4159000,"Portland city, Oregon",2011,67610,2886.3223
16000US4159000,"Portland city, Oregon",2012,75514,3781.7629
16000US4159000,"Portland city, Oregon",2013,75307,3159.2705
16000US4159000,"Portland city, Oregon",2014,74037,2995.7446
16000US4159000,"Portland city, Oregon",2015,72532,2508.8147
16000US4159000,"Portland city, Oregon",2016,70721,3146.5046
16000US4159000,"Portland city, Oregon",2017,71082,3065.0457
16000US4260000,"Philadelphia city, Pennsylvania",2009,212984,6526.4438
16000US4260000,"Philadelphia city, Pennsylvania",2010,191316,5686.3223
16000US4260000,"Philadelphia city, Pennsylvania",2011,186352,5623.1001
16000US4260000,"Philadelphia city, Pennsylvania",2012,190435,5187.8418
16000US4260000,"Philadelphia city, Pennsylvania",2013,171505,5163.5259
16000US4260000,"Philadelphia city, Pennsylvania",2014,176568,4908.8145
16000US4260000,"Philadelphia city, Pennsylvania",2015,176725,4784.8022
16000US4260000,"Philadelphia city, Pennsylvania",2016,163604,4724.0122
16000US4260000,"Philadelphia city, Pennsylvania",2017,158856,5765.9575
16000US4261000,"Pittsburgh city, Pennsylvania",2012,50796,2570.2126
16000US4261000,"Pittsburgh city, Pennsylvania",2015,45627,2390.2734
16000US4261000,"Pittsburgh city, Pennsylvania",2016,49419,2520.9727
16000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",2010,62032,2981.7629
16000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",2013,52896,2760.4863
16000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",2014,53678,2698.4802
16000US4805000,"Austin city, Texas",2009,65369,3324.0122
16000US4805000,"Austin city, Texas",2010,69440,2800.6079
16000US4805000,"Austin city, Texas",2012,69485,3885.1064
16000US4805000,"Austin city, Texas",2013,70246,3862.614
16000US4805000,"Austin city, Texas",2014,63770,3288.146
16000US4805000,"Austin city, Texas",2015,63390,2375.6838
16000US4805000,"Austin city, Texas",2016,70808,3233.4346
16000US4805000,"Austin city, Texas",2017,70666,3424.3162
16000US4819000,"Dallas city, Texas",2010,52975,2324.6201
16000US4819000,"Dallas city, Texas",2011,50388,2612.158
16000US4819000,"Dallas city, Texas",2012,57008,3313.6777
16000US4819000,"Dallas city, Texas",2013,53189,2620.6687
16000US4819000,"Dallas city, Texas",2014,57513,2944.073
16000US4819000,"Dallas city, Texas",2015,55556,2378.1155
16000US4819000,"Dallas city, Texas",2016,46367,2690.5774
16000US4819000,"Dallas city, Texas",2017,52235,2830.395
16000US4835000,"Houston city, Texas",2009,95046,4269.3008
16000US4835000,"Houston city, Texas",2010,78090,3574.468
16000US4835000,"Houston city, Texas",2011,79794,3387.842
16000US4835000,"Houston city, Texas",2012,80553,4603.6475
16000US4835000,"Houston city, Texas",2013,77288,3372.6443
16000US4835000,"Houston city, Texas",2014,86696,3720.9727
16000US4835000,"Houston city, Texas",2015,87041,3948.3284
16000US4835000,"Houston city, Texas",2016,87849,4351.9756
16000US4835000,"Houston city, Texas",2017,80968,4073.5562
16000US4865000,"San Antonio city, Texas",2013,61438,3066.8694
16000US4865000,"San Antonio city, Texas",2014,66275,3888.7539
16000US4865000,"San Antonio city, Texas",2015,67111,4111.854
16000US5103000,"Arlington CDP, Virginia",2017,24358,1601.2158
16000US5363000,"Seattle city, Washington",2009,80043,3621.2766
16000US5363000,"Seattle city, Washington",2010,65310,2670.5166
16000US5363000,"Seattle city, Washington",2011,72157,3133.7385
16000US5363000,"Seattle city, Washington",2012,73807,2777.5076
16000US5363000,"Seattle city, Washington",2013,72053,2865.0457
16000US5363000,"Seattle city, Washington",2014,71077,3213.3738
16000US5363000,"Seattle city, Washington",2015,81256,3717.9331
16000US5363000,"Seattle city, Washington",2016,86171,3260.1824
16000US5363000,"Seattle city, Washington",2017,80532,3371.4285
